ID,Task,Start,Finish,Category
0,Inception,2022-02-09,2022-02-23,UML
1,Elaboration – I,2022-02-17,2022-03-08,UML
2,Elaboration – II,2022-03-04,2022-04-10,UML
3,Construction,2022-03-16,2022-04-20,Coding
4,Transition,2022-04-21,2022-04-27,Coding
5,Authoring,2022-04-28,2022-05-11,Report
6,Correction,2022-05-12,2022-05-19,Report
7,Finalizing,2022-05-20,2022-05-22,All
